"filename", "language", "Markdown", "XML", "YAML", "Dart", "JSON", "Swift", "C++", "Groovy", "Properties", "comment", "blank", "total"
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/image/avatar.dart", "Dart", 0, 0, 0, 440, 0, 0, 0, 0, 0, 15, 12, 467
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/code.dart", "Dart", 0, 0, 0, 267, 0, 0, 0, 0, 0, 10, 14, 291
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/create_account_info.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/invite_for.dart", "Dart", 0, 0, 0, 451, 0, 0, 0, 0, 0, 10, 13, 474
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/invite_for_start_relationship.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/invite_partner.dart", "Dart", 0, 0, 0, 609, 0, 0, 0, 0, 0, 99, 24, 732
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/invite_relation.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 7, 64
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/name.dart", "Dart", 0, 0, 0, 231, 0, 0, 0, 0, 0, 12, 8, 251
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/phone.dart", "Dart", 0, 0, 0, 220, 0, 0, 0, 0, 0, 15, 14, 249
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/auth/login/relationships.dart", "Dart", 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 8, 297
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/ui/home/home.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 49
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/widgets/alerts/snack_bar.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 1, 9, 97
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/widgets/buttons/custom_animation_button.dart", "Dart", 0, 0, 0, 128, 0, 0, 0, 0, 0, 19, 10, 157
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/widgets/buttons/custom_button.dart", "Dart", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 8, 172
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/pubspec.yaml", "YAML", 0, 0, 39, 0, 0, 0, 0, 0, 0, 20, 12, 71
"Total", "-", 13, 239, 47, 3953, 131, 12, 1, 89, 8, 627, 454, 5574
